User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
0,4532015112830366,2024,1,15,08:30:15,$125.50,Chip Transaction,Starbucks Coffee,New York,NY,10001,5812,,No
0,4532015112830366,2024,1,15,12:45:22,$45.99,Chip Transaction,Amazon Prime,Seattle,WA,98101,5411,,No
0,4532015112830366,2024,1,15,18:20:05,$89.75,Swipe Transaction,Walmart Supercenter,Los Angeles,CA,90001,5311,,No
1,4916338506082832,2024,1,15,09:15:30,$234.00,Online Transaction,Best Buy Electronics,Chicago,IL,60601,5732,,No
1,4916338506082832,2024,1,15,14:30:45,$567.89,Chip Transaction,Apple Store,San Francisco,CA,94102,5732,,No
1,4916338506082832,2024,1,15,21:45:10,$1250.00,Online Transaction,Luxury Watch Store,Miami,FL,33101,5944,,Yes
2,4539578763621486,2024,1,15,07:00:00,$35.50,Swipe Transaction,McDonalds,Houston,TX,77001,5814,,No
2,4539578763621486,2024,1,15,11:30:25,$78.25,Chip Transaction,Target Store,Phoenix,AZ,85001,5311,,No
2,4539578763621486,2024,1,15,16:45:50,$156.00,Online Transaction,Nike Online,Denver,CO,80201,5661,,No
3,4024007197838753,2024,1,15,06:30:00,$25.00,Chip Transaction,Shell Gas Station,Dallas,TX,75201,5541,,No
3,4024007197838753,2024,1,15,10:15:40,$450.00,Swipe Transaction,Home Depot,Atlanta,GA,30301,5211,,No
3,4024007197838753,2024,1,15,19:00:55,$2500.00,Online Transaction,International Wire Transfer,Unknown,XX,00000,4829,Bad CVV,Yes
4,4485983798956842,2024,1,15,08:00:10,$55.75,Chip Transaction,Dunkin Donuts,Boston,MA,02101,5812,,No
4,4485983798956842,2024,1,15,13:25:35,$189.99,Online Transaction,Nordstrom,Seattle,WA,98101,5651,,No
4,4485983798956842,2024,1,15,17:40:20,$325.50,Chip Transaction,Costco Wholesale,Portland,OR,97201,5300,,No
5,4716182845649273,2024,1,16,09:30:15,$75.00,Chip Transaction,Whole Foods Market,San Diego,CA,92101,5411,,No
5,4716182845649273,2024,1,16,14:45:30,$1890.00,Online Transaction,Electronics Megastore,Las Vegas,NV,89101,5732,,Yes
5,4716182845649273,2024,1,16,20:15:45,$45.25,Swipe Transaction,Pizza Hut,Sacramento,CA,95814,5812,,No
6,4929460856247301,2024,1,16,07:15:00,$30.00,Chip Transaction,Chevron,Austin,TX,78701,5541,,No
6,4929460856247301,2024,1,16,11:00:20,$125.00,Chip Transaction,Macy's Department Store,Philadelphia,PA,19101,5311,,No
6,4929460856247301,2024,1,16,15:30:40,$89.99,Online Transaction,Spotify Premium,New York,NY,10001,5815,,No
7,4532987654321098,2024,1,16,08:45:25,$42.50,Chip Transaction,Panera Bread,Washington,DC,20001,5812,,No
7,4532987654321098,2024,1,16,12:20:50,$678.00,Swipe Transaction,Samsung Store,Charlotte,NC,28201,5732,,No
7,4532987654321098,2024,1,16,18:55:15,$3200.00,Online Transaction,Suspicious Vendor,Unknown,XX,00000,5999,Insufficient Balance,Yes
8,4716543210987654,2024,1,16,06:00:30,$20.00,Swipe Transaction,7-Eleven,Orlando,FL,32801,5411,,No
8,4716543210987654,2024,1,16,10:30:45,$95.00,Chip Transaction,Barnes & Noble,Tampa,FL,33601,5942,,No
8,4716543210987654,2024,1,16,16:15:10,$245.75,Online Transaction,Etsy Marketplace,Minneapolis,MN,55401,5699,,No
9,4929123456789012,2024,1,16,09:00:00,$65.00,Chip Transaction,Trader Joes,Detroit,MI,48201,5411,,No
9,4929123456789012,2024,1,16,13:45:25,$189.50,Chip Transaction,Gap Store,Cleveland,OH,44101,5651,,No
9,4929123456789012,2024,1,16,19:30:40,$750.00,Online Transaction,Travel Agency,Atlanta,GA,30301,4722,,No
0,4532015112830366,2024,1,17,07:30:00,$55.00,Chip Transaction,Starbucks Coffee,New York,NY,10001,5812,,No
0,4532015112830366,2024,1,17,11:15:30,$234.56,Online Transaction,Newegg Electronics,Los Angeles,CA,90001,5732,,No
0,4532015112830366,2024,1,17,15:45:20,$89.00,Swipe Transaction,Target Store,Chicago,IL,60601,5311,,No
1,4916338506082832,2024,1,17,08:00:15,$45.00,Chip Transaction,Subway,San Francisco,CA,94102,5812,,No
1,4916338506082832,2024,1,17,12:30:40,$567.00,Chip Transaction,Microsoft Store,Seattle,WA,98101,5732,,No
1,4916338506082832,2024,1,17,17:00:55,$890.00,Online Transaction,Jewelry Store,Miami,FL,33101,5944,,No
2,4539578763621486,2024,1,17,06:45:10,$28.50,Swipe Transaction,Burger King,Houston,TX,77001,5814,,No
2,4539578763621486,2024,1,17,10:20:35,$145.00,Chip Transaction,Kohls,Phoenix,AZ,85001,5311,,No
2,4539578763621486,2024,1,17,14:55:50,$278.99,Online Transaction,Adidas Online,Denver,CO,80201,5661,,No
3,4024007197838753,2024,1,17,07:00:25,$35.00,Chip Transaction,BP Gas Station,Dallas,TX,75201,5541,,No
3,4024007197838753,2024,1,17,11:35:40,$325.00,Swipe Transaction,Lowes,Atlanta,GA,30301,5211,,No
